congresista,movimiento,circunscripcion,fecha,dato_asistencia
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/07/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/07/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,01/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,08/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,15/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,28/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,25/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,03/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,09/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,23/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,24/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,31/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,06/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,07/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/11/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/11/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,27/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/03/2019,EX. MÉDICA
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/03/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,27/03/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,08/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,10/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,23/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,24/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,01/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,08/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,22/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,28/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/06/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/06/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,10/06/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/06/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/06/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/06/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/06/2019,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/06/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/06/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/07/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,23/07/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/07/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,31/07/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/08/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,06/08/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/08/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/08/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/08/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/08/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/08/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,27/08/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/09/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,03/09/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,09/09/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,10/09/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/09/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/09/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,23/09/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/09/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,01/10/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,07/10/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,08/10/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,15/10/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/10/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/10/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/10/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,06/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,25/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/11/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,03/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,09/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,10/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/12/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/04/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/04/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,23/04/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,28/04/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/04/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,07/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,15/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,27/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,28/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/05/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,09/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/06/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/07/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,28/07/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/07/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,06/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,25/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,27/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,28/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/08/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,01/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,03/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,08/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,09/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,10/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,15/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,22/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/09/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,01/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,07/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,15/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,27/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,28/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/10/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,03/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/11/2020,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,24/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,25/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/11/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,01/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,03/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,09/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,10/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,15/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/12/2020,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/12/2020,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,20/07/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,26/07/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,01/08/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,08/08/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,15/08/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,21/08/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,28/08/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,04/09/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,05/09/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,11/09/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,12/09/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,18/09/2018,EX. MÉDICA
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,19/09/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,25/09/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,26/09/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,02/10/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,03/10/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,09/10/2018,ASISTIÓ
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,16/10/2018,OTRAS EXCUSAS
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,17/10/2018,OTRAS EXCUSAS
ACOSTA LOZANO CARLOS EDUARDO,COLOMBIA JUSTA LIBRES,BOGOTÁ D.C.,23/10/2018,ASISTIÓ
